"id","fqdn/ip","port","severity","finding","cve","cwe"
"clientsimulation-safari_154_osx_1231","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_184_osx_154","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","No connection","",""
"clientsimulation-java_80442","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_1102","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_1703","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-java_2106","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-go_1178","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_336","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-openssl_102e","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-openssl_111d","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_315","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-openssl_350","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_256_GCM_SHA384","",""
"clientsimulation-apple_mail_16_0","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384","",""
"clientsimulation-thunderbird_91_9","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009r from 2025-05-16)","",""
"rating_doc","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","100","",""
"protocol_support_score_weighted","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","30","",""
"key_exchange_score","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","90","",""
"key_exchange_score_weighted","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","27","",""
"cipher_strength_score","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","90","",""
"cipher_strength_score_weighted","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","36","",""
"final_score","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","INFO","93","",""
"overall_grade","enquetes.creps-vichy.sports.gouv.fr/195.135.79.175","443","OK","A+","",""
